エドモントンの首都はどの国または州ですか？答えは： アルバータ州
ジェームズ2世はどこの国の市民ですか？ 答えは: イングランド王国
ハマド・ビン・ハリーファ・アール＝サーニーはどこの国の市民ですか？ 答えは: カタール
フランシスコ・デ・ゴヤはどこの国の市民ですか？ 答えは: スペイン
ジャラル・タラバニはどこの国の市民ですか？ 答えは: クルディスタン
フロリアーノ・ペイショトはどこの国の市民ですか？ 答えは: ブラジル
アントニス・サマラスはどこの国の市民ですか？ 答えは: ギリシャ
ベッペ・グリッロはどこの国の市民ですか？ 答えは: イタリア
フレゼリク9世はどこの国の市民ですか？ 答えは: デンマーク
マイケル・ファスベンダーはどこの国の市民ですか？ 答えは: アイルランド
アレクサンドラ・オブ・デンマークはどこの国の市民ですか？ 答えは: デンマーク
ミゲル・イダルゴはどこの国の市民ですか？ 答えは: スペイン
エトムント・フッサールはどこの国の市民ですか？ 答えは: ドイツ
リーゼ・マイトナーはどこの国の市民ですか？ 答えは: スウェーデン
アルベール2世はどこの国の市民ですか？ 答えは: ベルギー
マハーヴィーラはどこの国の市民ですか？ 答えは: インド
スヴァンテ・アレニウスはどこの国の市民ですか？ 答えは: スウェーデン
マリオ・モンティはどこの国の市民ですか？ 答えは: イタリア
ピエール・ジャンサンはどこの国の市民ですか？ 答えは: フランス
パリ・サンジェルマンの本部はどこですか？ 答えは： パリ
フィレンツェ大学の本部はどこですか？ 答えは： フィレンツェ
国家社会主義ドイツ労働者党の本部はどこですか？ 答えは： ミュンヘン
地中海連合の本部はどこですか？ 答えは： バルセロナ
国際刑事警察機構の本部はどこですか？ 答えは： リヨン
民主進歩党の本部はどこですか？ 答えは： 台北市
EMIの本部はどこですか？ 答えは： ロンドン
ASナンシーの本部はどこですか？ 答えは： ナンシー
SoundCloudの本部はどこですか？ 答えは： ベルリン
キャデラックの本部はどこですか？ 答えは： デトロイト
ポリドール・レコードの本部はどこですか？ 答えは： ロンドン
任天堂の本部はどこですか？ 答えは： 京都市
ケンブリッジ大学の本部はどこですか？ 答えは： ケンブリッジ
ジャーマンウイングスの本部はどこですか？ 答えは： ケルン
ワシントン大学の本部はどこですか？ 答えは： シアトル
エリクソンの本部はどこですか？ 答えは： ストックホルム
ブレントフォードFCの本部はどこですか？ 答えは： ロンドン
アフガニスタン人民民主党の本部はどこですか？ 答えは： カーブル
サムスングループの本部はどこですか？ 答えは： ソウル特別市
北京国安足球倶楽部の本部はどこですか？ 答えは： 北京市
コミンテルンの本部はどこですか？ 答えは： モスクワ
ギネス世界記録の本部はどこですか？ 答えは： ロンドン
国際チェス連盟の本部はどこですか？ 答えは： アテネ
ロレックスの本部はどこですか？ 答えは： ジュネーヴ
アッシリア東方教会の本部はどこですか？ 答えは： シカゴ
パリ大学の本部はどこですか？ 答えは： パリ
国際テニス連盟の本部はどこですか？ 答えは： ロンドン
ドイチェ・ヴェレの本部はどこですか？ 答えは： ボン
シェフィールド・ウェンズデイFCの本部はどこですか？ 答えは： シェフィールド
世界貿易機関の本部はどこですか？ 答えは： ジュネーヴ
RBライプツィヒの本部はどこですか？ 答えは： ライプツィヒ
アメリカ合衆国サッカー連盟の本部はどこですか？ 答えは： シカゴ
BPの本部はどこですか？ 答えは： ロンドン
レノボの本部はどこですか？ 答えは： 北京市
トヨタ自動車の本部はどこですか？ 答えは： 豊田市
科学アカデミーの本部はどこですか？ 答えは： パリ
ドイツサッカー連盟の本部はどこですか？ 答えは： フランクフルト・アム・マイン
カロリンスカ研究所の本部はどこですか？ 答えは： ストックホルム
イスラム革命防衛隊の本部はどこですか？ 答えは： テヘラン
パリ政治学院の本部はどこですか？ 答えは： パリ
FCディナモ・キエフの本部はどこですか？ 答えは： キエフ
FKサラエヴォの本部はどこですか？ 答えは： サラエヴォ
欧州宇宙機関の本部はどこですか？ 答えは： パリ
ブラウン大学の本部はどこですか？ 答えは： プロビデンス
ジュネーヴ大学の本部はどこですか？ 答えは： ジュネーヴ
ドミニコ会の本部はどこですか？ 答えは： ローマ
WWEの本部はどこですか？ 答えは： スタンフォード
マギル大学の本部はどこですか？ 答えは： モントリオール
カリブ共同体の本部はどこですか？ 答えは： ジョージタウン
レクサスの本部はどこですか？ 答えは： 名古屋市
シェフィールド・ユナイテッドFCの本部はどこですか？ 答えは： シェフィールド
ナット・キング・コールはどんな楽器を演奏しますか？答えは： ピアノ
ジミー・ペイジはどんな楽器を演奏しますか？答えは： ヴァイオリン
ニール・ヤングはどんな楽器を演奏しますか？答えは： ハーモニカ
アレサ・フランクリンはどんな楽器を演奏しますか？答えは： ピアノ
レナード・バーンスタインはどんな楽器を演奏しますか？答えは： ピアノ
エリック・クラプトンはどんな楽器を演奏しますか？答えは： ヴァイオリン
エマニュエル・シャブリエはどんな楽器を演奏しますか？答えは： ピアノ
セルジュ・ゲンスブールはどんな楽器を演奏しますか？答えは： ギター
エドヴァルド・グリーグはどんな楽器を演奏しますか？答えは： ピアノ
イツァーク・パールマンはどんな楽器を演奏しますか？答えは： ヴァイオリン
ジョージ・マーティンはどんな楽器を演奏しますか？答えは： ピアノ
ボブ・ディランはどんな楽器を演奏しますか？答えは： ハーモニカ
マイク・シノダはどんな楽器を演奏しますか？答えは： ギター
ジャレッド・レトはどんな楽器を演奏しますか？答えは： ギター
ヴォルフガング・アマデウス・モーツァルトはどんな楽器を演奏しますか？答えは： ヴィオラ
フィリップ・グラスはどんな楽器を演奏しますか？答えは： ピアノ
ジュゼッペ・タルティーニはどんな楽器を演奏しますか？答えは： ヴァイオリン
フランシス・プーランクはどんな楽器を演奏しますか？答えは： ピアノ
ブラッド・デルソンはどんな楽器を演奏しますか？答えは： ギター
レディー・ガガはどんな楽器を演奏しますか？答えは： ピアノ
エルヴィス・プレスリーはどんな楽器を演奏しますか？答えは： ギター
ヨハン・シュトラウス1世はどんな楽器を演奏しますか？答えは： ヴァイオリン
レナード・コーエンはどんな楽器を演奏しますか？答えは： ギター
ジョージ・ガーシュウィンはどんな楽器を演奏しますか？答えは： ピアノ
エルネスト・ショーソンはどんな楽器を演奏しますか？答えは： ピアノ
セリーヌ・ディオンはどんな楽器を演奏しますか？答えは： ピアノ
ブルース・スプリングスティーンはどんな楽器を演奏しますか？答えは： ハーモニカ
カール・ツェルニーはどんな楽器を演奏しますか？答えは： ピアノ
アントニオ・ヴィヴァルディはどんな楽器を演奏しますか？答えは： ヴァイオリン
ジミ・ヘンドリックスはどんな楽器を演奏しますか？答えは： ギター
パウル・ヒンデミットはどんな楽器を演奏しますか？答えは： ヴィオラ
ジョン・コルトレーンはどんな楽器を演奏しますか？答えは： クラリネット
ジョルジェ・エネスクはどんな楽器を演奏しますか？答えは： ヴァイオリン
ポール・マッカートニーはどんな楽器を演奏しますか？答えは： ピアノ
トマゾ・アルビノーニはどんな楽器を演奏しますか？答えは： ヴァイオリン
ロベルト・シューマンはどんな楽器を演奏しますか？答えは： ピアノ
アルトゥール・ルービンシュタインはどんな楽器を演奏しますか？答えは： ピアノ
セロニアス・モンクはどんな楽器を演奏しますか？答えは： ピアノ
マイク・シノダはどんな楽器を演奏しますか？答えは： ピアノ
エリック・クラプトンはどんな楽器を演奏しますか？答えは： ギター
フランツ・リストはどんな楽器を演奏しますか？答えは： ピアノ
スティーヴィー・ワンダーはどんな楽器を演奏しますか？答えは： ハーモニカ
ジャレッド・レトはどんな楽器を演奏しますか？答えは： ヴァイオリン
ヨハネス・ブラームスはどんな楽器を演奏しますか？答えは： ピアノ
レイ・チャールズはどんな楽器を演奏しますか？答えは： ピアノ
ブライアン・メイはどんな楽器を演奏しますか？答えは： ギター
ノートルダム・ド・パリの元の言語は何ですか？ 答えは： フランス語
ライオン・キングの元の言語は何ですか？ 答えは： 英語
最強のふたりの元の言語は何ですか？ 答えは： フランス語
アドベンチャー・タイムの元の言語は何ですか？ 答えは： 英語
太陽に灼かれての元の言語は何ですか？ 答えは： ロシア語
戦場のピアニストの元の言語は何ですか？ 答えは： 英語
モンテ・クリスト伯の元の言語は何ですか？ 答えは： フランス語
スラムドッグ$ミリオネアの元の言語は何ですか？ 答えは： 英語
ネイチャーの元の言語は何ですか？ 答えは： 英語
ゴッドファーザーの元の言語は何ですか？ 答えは： 英語
ゴーストバスターズの元の言語は何ですか？ 答えは： 英語
三銃士の元の言語は何ですか？ 答えは： フランス語
オランダ語版ウィキペディアの元の言語は何ですか？ 答えは： オランダ語
シャルリー・エブドの元の言語は何ですか？ 答えは： フランス語
パルプ・フィクションの元の言語は何ですか？ 答えは： 英語
続・夕陽のガンマンの元の言語は何ですか？ 答えは： イタリア語
ワイルド・スピードの元の言語は何ですか？ 答えは： 英語
魔笛の元の言語は何ですか？ 答えは： ドイツ語
iCarlyの元の言語は何ですか？ 答えは： 英語
ソビエト大百科事典の元の言語は何ですか？ 答えは： ロシア語
長靴をはいた猫の元の言語は何ですか？ 答えは： イタリア語
フィンランド語版ウィキペディアの元の言語は何ですか？ 答えは： フィンランド語
トムとジェリの元の言語は何ですか？ 答えは： 英語
ジャングル・ブックの元の言語は何ですか？ 答えは： 英語
ギリシア語版ウィキペディアの元の言語は何ですか？ 答えは： ギリシア語
おせっかいの元の言語は何ですか？ 答えは： 英語
gitの元の言語は何ですか？ 答えは： 英語
アエネーイスの元の言語は何ですか？ 答えは： ラテン語
ロシア語版ウィキペディアの元の言語は何ですか？ 答えは： ロシア語
スター・トレック・イントゥ・ダークネスの元の言語は何ですか？ 答えは： 英語
シャルリー・エブドの元の言語は何ですか？ 答えは： フランス語
ワシントン・ポストの元の言語は何ですか？ 答えは： 英語
PLAYBOYの元の言語は何ですか？ 答えは： 英語
ニュー・ホライズンズの元の言語は何ですか？ 答えは： 英語
アイーダの元の言語は何ですか？ 答えは： イタリア語
サイエンスの元の言語は何ですか？ 答えは： 英語
シルバー・ライニングス・プレイブックの元の言語は何ですか？ 答えは： 英語
ニューズウィークの元の言語は何ですか？ 答えは： 英語
ランボーの元の言語は何ですか？ 答えは： 英語
星の王子さまの元の言語は何ですか？ 答えは： フランス語
Siriの元の言語は何ですか？ 答えは： 英語
デンマーク語版ウィキペディアの元の言語は何ですか？ 答えは： デンマーク語
ルモンドの元の言語は何ですか？ 答えは： フランス語
フィガロの元の言語は何ですか？ 答えは： フランス語
チェコ語版ウィキペディアの元の言語は何ですか？ 答えは： チェコ語
ガーディアンの元の言語は何ですか？ 答えは： 英語
クロアチア語版ウィキペディアの元の言語は何ですか？ 答えは： クロアチア語
ユトレヒト条約の元の言語は何ですか？ 答えは： 英語
パルプ・フィクションの元の言語は何ですか？ 答えは： 英語
ヴィルヘルムス・ファン・ナッソウエの元の言語は何ですか？ 答えは： オランダ語
スウェーデン語版ウィキペディアの元の言語は何ですか？ 答えは： スウェーデン語
ポーランド語版ウィキペディアの元の言語は何ですか？ 答えは： ポーランド語
エストニア語版ウィキペディアの元の言語は何ですか？ 答えは： エストニア語
アビイ・ロードの元の言語は何ですか？ 答えは： 英語
カタルーニャ語版ウィキペディアの元の言語は何ですか？ 答えは： カタルーニャ語
ベトナム語版ウィキペディアの元の言語は何ですか？ 答えは： ベトナム語
魔笛の元の言語は何ですか？ 答えは： ドイツ語
朝鮮語版ウィキペディアの元の言語は何ですか？ 答えは： 朝鮮語
Pinterestの元の言語は何ですか？ 答えは： フランス語
オリバー・ツイストの元の言語は何ですか？ 答えは： 英語
不思議の国のアリスの元の言語は何ですか？ 答えは： 英語
高慢と偏見の元の言語は何ですか？ 答えは： 英語
タイムの元の言語は何ですか？ 答えは： 英語
グレート・ギャツビーの元の言語は何ですか？ 答えは： 英語
LibreOfficeの元の言語は何ですか？ 答えは： 英語
Pinterestの元の言語は何ですか？ 答えは： スペイン語
我が黄金のベンガルよの元の言語は何ですか？ 答えは： ベンガル語
LibreOfficeの元の言語は何ですか？ 答えは： フィンランド語
ドイツ語版ウィキペディアの元の言語は何ですか？ 答えは： ドイツ語
ヴェルサイユ条約の元の言語は何ですか？ 答えは： フランス語
エヴゲーニイ・オネーギンの元の言語は何ですか？ 答えは： ロシア語
ウクライナ語版ウィキペディアの元の言語は何ですか？ 答えは： ウクライナ語
1984年の元の言語は何ですか？ 答えは： 英語
トム・ソーヤーの冒険の元の言語は何ですか？ 答えは： 英語
ターミネーター: ジェネシスの元の言語は何ですか？ 答えは： 英語
ネイチャーの元の言語は何ですか？ 答えは： 英語
デカメロンの元の言語は何ですか？ 答えは： イタリア語
Pinterestの元の言語は何ですか？ 答えは： フィンランド語
エコノミストの元の言語は何ですか？ 答えは： 英語
古き自由な北の国の元の言語は何ですか？ 答えは： スウェーデン語
ピノッキオの冒険の元の言語は何ですか？ 答えは： イタリア語
白鯨の元の言語は何ですか？ 答えは： 英語
Pinterestの元の言語は何ですか？ 答えは： イタリア語
フィガロの結婚の元の言語は何ですか？ 答えは： イタリア語
マーストリヒト条約の元の言語は何ですか？ 答えは： フランス語
プリーズ・プリーズ・ミーの元の言語は何ですか？ 答えは： 英語
ブルガリア語版ウィキペディアの元の言語は何ですか？ 答えは： ブルガリア語
The Pirate Bayの元の言語は何ですか？ 答えは： スペイン語
トルコ語版ウィキペディアの元の言語は何ですか？ 答えは： トルコ語
ハンガリー語版ウィキペディアの元の言語は何ですか？ 答えは： ハンガリー語
アンナ・カレーニナの元の言語は何ですか？ 答えは： ロシア語
セルビア語版ウィキペディアの元の言語は何ですか？ 答えは： セルビア語
イタリア語版ウィキペディアの元の言語は何ですか？ 答えは： イタリア語
スペイン語版ウィキペディアの元の言語は何ですか？ 答えは： スペイン語
フィンランド語版ウィキペディアの元の言語は何ですか？ 答えは： フィンランド語
シンプル英語版ウィキペディアの元の言語は何ですか？ 答えは： 英語
イングロリアス・バスターズの元の言語は何ですか？ 答えは： 英語
Pinterestの元の言語は何ですか？ 答えは： 英語
アレクサンダーの元の言語は何ですか？ 答えは： 英語
イミテーション・ゲーム/エニグマと天才数学者の秘密の元の言語は何ですか？ 答えは： 英語
ドン・ジョヴァンニの元の言語は何ですか？ 答えは： イタリア語
オフ・ザ・ウォールの元の言語は何ですか？ 答えは： 英語
インターネット・アーカイブの元の言語は何ですか？ 答えは： 英語
ボヘミアン・ラプソディの元の言語は何ですか？ 答えは： 英語
フランス語版ウィキペディアの元の言語は何ですか？ 答えは： フランス語
ロサンゼルス・タイムズの元の言語は何ですか？ 答えは： 英語
Apache HTTP Serverの元の言語は何ですか？ 答えは： 英語
RIAノーボスチの元の言語は何ですか？ 答えは： ロシア語
チャールズ・ブロンソンは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
ウィリアム・ジェームズは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
エルナ・ソルベルグは、どの言語を使ってコミュニケーションしましたか？ 答えは： ノルウェー語
エフライム・カツィールは、どの言語を使ってコミュニケーションしましたか？ 答えは： ヘブライ語
パク・チャヌクは、どの言語を使ってコミュニケーションしましたか？ 答えは： 朝鮮語
ナサニエル・ホーソーンは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
ジェームズ・アール・ジョーンズは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
トール・ヘイエルダールは、どの言語を使ってコミュニケーションしましたか？ 答えは： ノルウェー語
ジェイソン・ステイサムは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
メアリ・ウルストンクラフトは、どの言語を使ってコミュニケーションしましたか？ 答えは： フランス語
フリーダ・カーロは、どの言語を使ってコミュニケーションしましたか？ 答えは： スペイン語
ジャンヌ・モローは、どの言語を使ってコミュニケーションしましたか？ 答えは： フランス語
ナディア・ブーランジェは、どの言語を使ってコミュニケーションしましたか？ 答えは： フランス語
ヴィクトリア・シルヴステッドは、どの言語を使ってコミュニケーションしましたか？ 答えは： フランス語
アルフレッド・ラッセル・ウォレスは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
ラムセス2世は、どの言語を使ってコミュニケーションしましたか？ 答えは： エジプト語
クリストフ・ヴィリバルト・グルックは、どの言語を使ってコミュニケーションしましたか？ 答えは： ドイツ語
アブラーム・ド・モアブルは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
エフード・バラックは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
ヤーコフ・スヴェルドロフは、どの言語を使ってコミュニケーションしましたか？ 答えは： ロシア語
マルクス・リキニウス・クラッススは、どの言語を使ってコミュニケーションしましたか？ 答えは： ラテン語
ジャン＝ジャック・アノーは、どの言語を使ってコミュニケーションしましたか？ 答えは： フランス語
ウェルギリウスは、どの言語を使ってコミュニケーションしましたか？ 答えは： ラテン語
マザー・テレサは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
スティーヴ・ビコは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
クリスティアーン・ホイヘンスは、どの言語を使ってコミュニケーションしましたか？ 答えは： ラテン語
アンリ・ド・サン＝シモンは、どの言語を使ってコミュニケーションしましたか？ 答えは： フランス語
ジョージ・マイケルは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
ジュゼッペ・ペアノは、どの言語を使ってコミュニケーションしましたか？ 答えは： イタリア語
ウィレム＝アレクサンダーは、どの言語を使ってコミュニケーションしましたか？ 答えは： オランダ語
トリスタン・ツァラは、どの言語を使ってコミュニケーションしましたか？ 答えは： フランス語
リチャード・アークライトは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
ジョゼップ・グアルディオラは、どの言語を使ってコミュニケーションしましたか？ 答えは： スペイン語
ナジ・イムレは、どの言語を使ってコミュニケーションしましたか？ 答えは： ハンガリー語
ウィレム・アイントホーフェンは、どの言語を使ってコミュニケーションしましたか？ 答えは： オランダ語
マルグレーテ2世は、どの言語を使ってコミュニケーションしましたか？ 答えは： スウェーデン語
サティエンドラ・ボースは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
アーネスト・シャクルトンは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
サルバドール・アジェンデは、どの言語を使ってコミュニケーションしましたか？ 答えは： スペイン語
ニコライ・レスコフは、どの言語を使ってコミュニケーションしましたか？ 答えは： ロシア語
ヴィットーリオ・エマヌエーレ2世は、どの言語を使ってコミュニケーションしましたか？ 答えは： イタリア語
ジョルジェ・エネスクは、どの言語を使ってコミュニケーションしましたか？ 答えは： ルーマニア語
グロリア・エステファンは、どの言語を使ってコミュニケーションしましたか？ 答えは： スペイン語
マイケル・ムーアは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
カロン・ド・ボーマルシェは、どの言語を使ってコミュニケーションしましたか？ 答えは： フランス語
ベネデット・クローチェは、どの言語を使ってコミュニケーションしましたか？ 答えは： イタリア語
ラヴィ・シャンカルは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
サム・メンデスは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
イヴァン・ブーニンは、どの言語を使ってコミュニケーションしましたか？ 答えは： ロシア語
アボルハサン・バニーサドルは、どの言語を使ってコミュニケーションしましたか？ 答えは： ペルシア語
アングンは、どの言語を使ってコミュニケーションしましたか？ 答えは： インドネシア語
クラーク・ゲーブルは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
ジャック・ラカンは、どの言語を使ってコミュニケーションしましたか？ 答えは： フランス語
ジェームズ・ガーナーは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
マニュエル・ヴァルスは、どの言語を使ってコミュニケーションしましたか？ 答えは： スペイン語
アッバス・キアロスタミは、どの言語を使ってコミュニケーションしましたか？ 答えは： ペルシア語
オリバー・クロムウェルは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
アウグスト・ピノチェトは、どの言語を使ってコミュニケーションしましたか？ 答えは： スペイン語
フランシス・プーランクは、どの言語を使ってコミュニケーションしましたか？ 答えは： フランス語
ジュール・マスネは、どの言語を使ってコミュニケーションしましたか？ 答えは： フランス語
カルロス・マルチェナは、どの言語を使ってコミュニケーションしましたか？ 答えは： スペイン語
ルドヴィコ・ザメンホフは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
モハメド・アリは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
アンナ・マニャーニは、どの言語を使ってコミュニケーションしましたか？ 答えは： イタリア語
ABBAは、どの言語を使ってコミュニケーションしましたか？ 答えは： スウェーデン語
イエス・キリストは、どの言語を使ってコミュニケーションしましたか？ 答えは： ヘブライ語
ジュゼッペ・トルナトーレは、どの言語を使ってコミュニケーションしましたか？ 答えは： イタリア語
グウェン・ステファニーは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
タキトゥスは、どの言語を使ってコミュニケーションしましたか？ 答えは： ラテン語
アラニス・モリセットは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
ヴォイチェフ・ヤルゼルスキは、どの言語を使ってコミュニケーションしましたか？ 答えは： ポーランド語
カイリー・ミノーグは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
カルロス・フエンテスは、どの言語を使ってコミュニケーションしましたか？ 答えは： スペイン語
ドワイト・D・アイゼンハワーは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
トマ・ピケティは、どの言語を使ってコミュニケーションしましたか？ 答えは： フランス語
アレクセイ・ブルシーロフは、どの言語を使ってコミュニケーションしましたか？ 答えは： ロシア語
レフ・カーメネフは、どの言語を使ってコミュニケーションしましたか？ 答えは： ロシア語
ジョン・アップダイクは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
アンヌ・パリローは、どの言語を使ってコミュニケーションしましたか？ 答えは： フランス語
フェリペ5世は、どの言語を使ってコミュニケーションしましたか？ 答えは： スペイン語
エマニュエル・セニエは、どの言語を使ってコミュニケーションしましたか？ 答えは： フランス語
アーネスト・ラザフォードは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
ユージン・オニールは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
ウィリアム・トムソンは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
ジェニファー・ハドソンは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
ヘンリー・キッシンジャーは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
ピウス10世は、どの言語を使ってコミュニケーションしましたか？ 答えは： ラテン語
ウゼイル・ハジベヨフは、どの言語を使ってコミュニケーションしましたか？ 答えは： アゼルバイジャン語
トマス・ホッブズは、どの言語を使ってコミュニケーションしましたか？ 答えは： ラテン語
朱熹は、どの言語を使ってコミュニケーションしましたか？ 答えは： 中国語
ガッド・エルマレは、どの言語を使ってコミュニケーションしましたか？ 答えは： フランス語
アルベルト・リエラは、どの言語を使ってコミュニケーションしましたか？ 答えは： スペイン語
ヨハン・アウグスト・ストリンドベリは、どの言語を使ってコミュニケーションしましたか？ 答えは： スウェーデン語
クリスティン・スコット・トーマスは、どの言語を使ってコミュニケーションしましたか？ 答えは： フランス語
トーマス・ハーディは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
ウォルター・クロンカイトは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
モーシェ・ベン＝マイモーンは、どの言語を使ってコミュニケーションしましたか？ 答えは： ヘブライ語
ヨハン・クライフは、どの言語を使ってコミュニケーションしましたか？ 答えは： オランダ語
高行健は、どの言語を使ってコミュニケーションしましたか？ 答えは： 中国語
ミハイル・ホドルコフスキーは、どの言語を使ってコミュニケーションしましたか？ 答えは： ロシア語
ジャン・シベリウスは、どの言語を使ってコミュニケーションしましたか？ 答えは： フィンランド語
ルドヴィコ・ザメンホフは、どの言語を使ってコミュニケーションしましたか？ 答えは： ロシア語
フリーマン・ダイソンは、どの言語を使ってコミュニケーションしましたか？ 答えは： 英語
アルベール・カミュは、どの言語を使ってコミュニケーションしましたか？ 答えは： フランス語
フェラーリ・エンツォを製造している会社はどこですか？答えは： フェラーリ
Microsoft Windows 2000を製造している会社はどこですか？答えは： マイクロソフト
エアバスA330を製造している会社はどこですか？答えは： エアバス
ホンダ・シビックを製造している会社はどこですか？答えは： 本田技研工業
フェラーリ・458イタリアを製造している会社はどこですか？答えは： フェラーリ
ボーイング777を製造している会社はどこですか？答えは： ボーイング
Microsoft Windows 7を製造している会社はどこですか？答えは： マイクロソフト
ニンテンドー3DSを製造している会社はどこですか？答えは： 任天堂
ホンダ・アコードを製造している会社はどこですか？答えは： 本田技研工業
iPhoneを製造している会社はどこですか？答えは： アップル
Intel 8008を製造している会社はどこですか？答えは： インテル
トヨタ・カムリを製造している会社はどこですか？答えは： トヨタ自動車
エアバスA380を製造している会社はどこですか？答えは： エアバス
iPhone 4Sを製造している会社はどこですか？答えは： アップル
ニンテンドーDSを製造している会社はどこですか？答えは： 任天堂
B-17を製造している会社はどこですか？答えは： ボーイング
Apple Iを製造している会社はどこですか？答えは： アップル
Xboxを製造している会社はどこですか？答えは： マイクロソフト
トヨタ・カローラを製造している会社はどこですか？答えは： トヨタ自動車
iPhone 3GSを製造している会社はどこですか？答えは： アップル
iPodを製造している会社はどこですか？答えは： アップル
BMW・X3を製造している会社はどこですか？答えは： BMW
ファミリーコンピュータ / Nintendo Entertainment Systemを製造している会社はどこですか？答えは： 任天堂
iPadを製造している会社はどこですか？答えは： アップル
エアバスA300を製造している会社はどこですか？答えは： エアバス
フェラーリ・ラ フェラーリを製造している会社はどこですか？答えは： フェラーリ
ゲームボーイアドバンスを製造している会社はどこですか？答えは： 任天堂
エアバスA320を製造している会社はどこですか？答えは： エアバス
Microsoft Windows Vistaを製造している会社はどこですか？答えは： マイクロソフト
天使を製造している会社はどこですか？答えは： 神
スーパーファミコンを製造している会社はどこですか？答えは： 任天堂
エアバスA350 XWBを製造している会社はどこですか？答えは： エアバス
エアバスA310を製造している会社はどこですか？答えは： エアバス
エアバスA340を製造している会社はどこですか？答えは： エアバス
Wii Uを製造している会社はどこですか？答えは： 任天堂
ロシア人の母国語は何ですか？答えは： ロシア語
ソフィー・マルソーの母国語は何ですか？答えは： フランス語
リオネル・ジョスパンの母国語は何ですか？答えは： フランス語
ウィリアム・ハリソンの母国語は何ですか？答えは： 英語
アラン・ドロンの母国語は何ですか？答えは： フランス語
ミシェル・ド・モンテーニュの母国語は何ですか？答えは： ラテン語
エフゲニー・エフトゥシェンコの母国語は何ですか？答えは： ロシア語
ヨハネ・パウロ2世の母国語は何ですか？答えは： ポーランド語
ニコライ・ブハーリンの母国語は何ですか？答えは： ロシア語
リオネル・メッシの母国語は何ですか？答えは： スペイン語
フランツ・カフカの母国語は何ですか？答えは： ドイツ語
アナトール・フランスの母国語は何ですか？答えは： フランス語
ジャン＝ポール・サルトルの母国語は何ですか？答えは： フランス語
シェイマス・ヒーニーの母国語は何ですか？答えは： 英語
アレクサンドル・プーシキンの母国語は何ですか？答えは： ロシア語
アンディ・マレーの母国語は何ですか？答えは： 英語
アンリ・ド・サン＝シモンの母国語は何ですか？答えは： フランス語
ジャン・カルヴァンの母国語は何ですか？答えは： フランス語
ウィリアム・アドルフ・ブグローの母国語は何ですか？答えは： フランス語
ジャン・レノの母国語は何ですか？答えは： フランス語
オドレイ・トトゥの母国語は何ですか？答えは： フランス語
ロバート・オッペンハイマーの母国語は何ですか？答えは： 英語
グウェン・ステファニーの母国語は何ですか？答えは： 英語
デビッド・ベッカムの母国語は何ですか？答えは： 英語
ブレーズ・パスカルの母国語は何ですか？答えは： フランス語
ジェンソン・バトンの母国語は何ですか？答えは： 英語
ジャン・ジロドゥの母国語は何ですか？答えは： フランス語
ピエール・ベールの母国語は何ですか？答えは： フランス語
ゲンナジー・ジュガーノフの母国語は何ですか？答えは： ロシア語
オリヴィエ・メシアンの母国語は何ですか？答えは： フランス語
ミゲル・デ・セルバンテスの母国語は何ですか？答えは： スペイン語
ウッドロウ・ウィルソンの母国語は何ですか？答えは： 英語
アンナ・クルニコワの母国語は何ですか？答えは： ロシア語
イザベル・カロの母国語は何ですか？答えは： フランス語
ティナ・ターナーの母国語は何ですか？答えは： 英語
